1	1993	0	0	0	0	0	0	0	1	1	0	0	0	1	0
2	1994	2	0	0	0	1	0	0	0	0	0	0	0	1	1
3	1995	2	0	0	0	0	0	1	1	0	0	1	0	2	0
4	1996	1	2	2	1	1	0	0	0	0	0	1	0	1	0
5	1997	0	0	0	1	1	2	2	0	1	0	0	2	1	0
6	1998	0	3	2	1	1	1	0	0	0	2	1	4	3	0
7	1999	1	0	0	2	1	0	0	1	0	1	0	0	0	0
8	2000	1	2	0	0	0	0	1	0	1	1	2	1	4	1
9	2001	0	0	1	2	0	1	2	1	0	1	0	3	0	0
10	2002	3	0	1	0	0	0	0	1	0	0	2	0	1	1
11	2003	0	0	0	0	0	0	1	0	0	2	0	1	0	1
12	2004	2	1	0	0	1	1	1	0	0	1	0	1	3	0
13	2005	1	1	2	1	0	0	3	2	1	1	0	1	2	0
14	2006	0	1	1	0	0	1	1	0	0	0	0	1	1	0
15	2007	0	0	1	1	0	1	1	0	0	1	2	2	0	2
16	2008	1	2	0	2	0	1	1	2	0	2	1	1	2	2
17	2009	0	0	0	1	1	1	0	1	1	0	3	3	1	0
18	2010	1	3	2	0	1	1	3	0	1	1	0	1	1	0
19	2011	0	1	0	0	0	1	0	2	0	0	1	3	0	0
20	2012	1	0	0	0	0	0	0	0	1	0	1	1	0	0
